Far field
"Phi"[deg]	"Horizon [m^2]"	
0.00000000E+00	1.71713543E+00	
1.00000000E+00	1.71704361E+00	
2.00000000E+00	1.71680264E+00	
3.00000000E+00	1.71641331E+00	
4.00000000E+00	1.71587670E+00	
5.00000000E+00	1.71519408E+00	
6.00000000E+00	1.71436698E+00	
7.00000000E+00	1.71339714E+00	
8.00000000E+00	1.71228652E+00	
9.00000000E+00	1.71103728E+00	
1.00000000E+01	1.70965175E+00	
1.10000000E+01	1.70813248E+00	
1.20000000E+01	1.70648218E+00	
1.30000000E+01	1.70470372E+00	
1.40000000E+01	1.70280013E+00	
1.50000000E+01	1.70077458E+00	
1.60000000E+01	1.69863039E+00	
1.70000000E+01	1.69637097E+00	
1.80000000E+01	1.69399989E+00	
1.90000000E+01	1.69152078E+00	
2.00000000E+01	1.68893741E+00	
2.10000000E+01	1.68625360E+00	
2.20000000E+01	1.68347325E+00	
2.30000000E+01	1.68060036E+00	
2.40000000E+01	1.67763896E+00	
2.50000000E+01	1.67459313E+00	
2.60000000E+01	1.67146703E+00	
2.70000000E+01	1.66826480E+00	
2.80000000E+01	1.66499067E+00	
2.90000000E+01	1.66164886E+00	
3.00000000E+01	1.65824361E+00	
3.10000000E+01	1.65477919E+00	
3.20000000E+01	1.65125985E+00	
3.30000000E+01	1.64768988E+00	
3.40000000E+01	1.64407353E+00	
3.50000000E+01	1.64041508E+00	
3.60000000E+01	1.63671879E+00	
3.70000000E+01	1.63298889E+00	
3.80000000E+01	1.62922962E+00	
3.90000000E+01	1.62544519E+00	
4.00000000E+01	1.62163979E+00	
4.10000000E+01	1.61781761E+00	
4.20000000E+01	1.61398279E+00	
4.30000000E+01	1.61013946E+00	
4.40000000E+01	1.60629171E+00	
4.50000000E+01	1.60244363E+00	
4.60000000E+01	1.59859924E+00	
4.70000000E+01	1.59476255E+00	
4.80000000E+01	1.59093756E+00	
4.90000000E+01	1.58712819E+00	
5.00000000E+01	1.58333836E+00	
5.10000000E+01	1.57957194E+00	
5.20000000E+01	1.57583276E+00	
5.30000000E+01	1.57212461E+00	
5.40000000E+01	1.56845125E+00	
5.50000000E+01	1.56481639E+00	
5.60000000E+01	1.56122369E+00	
5.70000000E+01	1.55767677E+00	
5.80000000E+01	1.55417922E+00	
5.90000000E+01	1.55073456E+00	
6.00000000E+01	1.54734627E+00	
6.10000000E+01	1.54401779E+00	
6.20000000E+01	1.54075249E+00	
6.30000000E+01	1.53755372E+00	
6.40000000E+01	1.53442475E+00	
6.50000000E+01	1.53136882E+00	
6.60000000E+01	1.52838909E+00	
6.70000000E+01	1.52548871E+00	
6.80000000E+01	1.52267075E+00	
6.90000000E+01	1.51993824E+00	
7.00000000E+01	1.51729414E+00	
7.10000000E+01	1.51474138E+00	
7.20000000E+01	1.51228283E+00	
7.30000000E+01	1.50992131E+00	
7.40000000E+01	1.50765960E+00	
7.50000000E+01	1.50550039E+00	
7.60000000E+01	1.50344637E+00	
7.70000000E+01	1.50150014E+00	
7.80000000E+01	1.49966426E+00	
7.90000000E+01	1.49794123E+00	
8.00000000E+01	1.49633349E+00	
8.10000000E+01	1.49484343E+00	
8.20000000E+01	1.49347336E+00	
8.30000000E+01	1.49222555E+00	
8.40000000E+01	1.49110218E+00	
8.50000000E+01	1.49010534E+00	
8.60000000E+01	1.48923708E+00	
8.70000000E+01	1.48849934E+00	
8.80000000E+01	1.48789395E+00	
8.90000000E+01	1.48742267E+00	
9.00000000E+01	1.48708713E+00	
9.10000000E+01	1.48688886E+00	
9.20000000E+01	1.48682926E+00	
9.30000000E+01	1.48690957E+00	
9.40000000E+01	1.48713093E+00	
9.50000000E+01	1.48749429E+00	
9.60000000E+01	1.48800044E+00	
9.70000000E+01	1.48865001E+00	
9.80000000E+01	1.48944342E+00	
9.90000000E+01	1.49038091E+00	
1.00000000E+02	1.49146251E+00	
1.01000000E+02	1.49268802E+00	
1.02000000E+02	1.49405703E+00	
1.03000000E+02	1.49556888E+00	
1.04000000E+02	1.49722268E+00	
1.05000000E+02	1.49901726E+00	
1.06000000E+02	1.50095121E+00	
1.07000000E+02	1.50302285E+00	
1.08000000E+02	1.50523023E+00	
1.09000000E+02	1.50757112E+00	
1.10000000E+02	1.51004301E+00	
1.11000000E+02	1.51264312E+00	
1.12000000E+02	1.51536838E+00	
1.13000000E+02	1.51821545E+00	
1.14000000E+02	1.52118071E+00	
1.15000000E+02	1.52426025E+00	
1.16000000E+02	1.52744994E+00	
1.17000000E+02	1.53074535E+00	
