Far field
"Theta"[deg]	"Phi = 0 deg [m^2]"	"Phi = 90 deg [m^2]"	
0.00000000E+00	1.52101442E+00	1.52101442E+00	
1.00000000E+00	1.52068485E+00	1.52084254E+00	
2.00000000E+00	1.51970221E+00	1.52068364E+00	
3.00000000E+00	1.51806196E+00	1.52053455E+00	
4.00000000E+00	1.51575675E+00	1.52038927E+00	
5.00000000E+00	1.51277645E+00	1.52023898E+00	
6.00000000E+00	1.50910800E+00	1.52007213E+00	
7.00000000E+00	1.50473543E+00	1.51987445E+00	
8.00000000E+00	1.49963971E+00	1.51962909E+00	
9.00000000E+00	1.49379880E+00	1.51931664E+00	
1.00000000E+01	1.48718757E+00	1.51891529E+00	
1.10000000E+01	1.47977787E+00	1.51840097E+00	
1.20000000E+01	1.47153863E+00	1.51774743E+00	
1.30000000E+01	1.46243600E+00	1.51692651E+00	
1.40000000E+01	1.45243365E+00	1.51590823E+00	
1.50000000E+01	1.44149309E+00	1.51466108E+00	
1.60000000E+01	1.42957417E+00	1.51315222E+00	
1.70000000E+01	1.41663567E+00	1.51134772E+00	
1.80000000E+01	1.40263602E+00	1.50921289E+00	
1.90000000E+01	1.38753418E+00	1.50671255E+00	
2.00000000E+01	1.37129065E+00	1.50381135E+00	
2.10000000E+01	1.35386855E+00	1.50047417E+00	
2.20000000E+01	1.33523499E+00	1.49666643E+00	
2.30000000E+01	1.31536237E+00	1.49235455E+00	
2.40000000E+01	1.29422994E+00	1.48750632E+00	
2.50000000E+01	1.27182537E+00	1.48209133E+00	
2.60000000E+01	1.24814642E+00	1.47608146E+00	
2.70000000E+01	1.22320267E+00	1.46945132E+00	
2.80000000E+01	1.19701724E+00	1.46217869E+00	
2.90000000E+01	1.16962849E+00	1.45424506E+00	
3.00000000E+01	1.14109172E+00	1.44563606E+00	
3.10000000E+01	1.11148072E+00	1.43634193E+00	
3.20000000E+01	1.08088926E+00	1.42635801E+00	
3.30000000E+01	1.04943235E+00	1.41568519E+00	
3.40000000E+01	1.01724732E+00	1.40433030E+00	
3.50000000E+01	9.84494637E-01	1.39230657E+00	
3.60000000E+01	9.51358470E-01	1.37963393E+00	
3.70000000E+01	9.18046860E-01	1.36633938E+00	
3.80000000E+01	8.84791559E-01	1.35245721E+00	
3.90000000E+01	8.51847462E-01	1.33802930E+00	
4.00000000E+01	8.19491601E-01	1.32310518E+00	
4.10000000E+01	7.88021683E-01	1.30774217E+00	
4.20000000E+01	7.57754161E-01	1.29200533E+00	
4.30000000E+01	7.29021807E-01	1.27596742E+00	
4.40000000E+01	7.02170808E-01	1.25970872E+00	
4.50000000E+01	6.77557365E-01	1.24331670E+00	
4.60000000E+01	6.55543830E-01	1.22688570E+00	
4.70000000E+01	6.36494384E-01	1.21051645E+00	
4.80000000E+01	6.20770300E-01	1.19431542E+00	
4.90000000E+01	6.08724828E-01	1.17839420E+00	
5.00000000E+01	6.00697753E-01	1.16286864E+00	
5.10000000E+01	5.97009685E-01	1.14785794E+00	
5.20000000E+01	5.97956158E-01	1.13348367E+00	
5.30000000E+01	6.03801605E-01	1.11986862E+00	
5.40000000E+01	6.14773303E-01	1.10713559E+00	
5.50000000E+01	6.31055385E-01	1.09540615E+00	
5.60000000E+01	6.52783015E-01	1.08479921E+00	
5.70000000E+01	6.80036821E-01	1.07542968E+00	
5.80000000E+01	7.12837721E-01	1.06740694E+00	
5.90000000E+01	7.51142227E-01	1.06083341E+00	
6.00000000E+01	7.94838350E-01	1.05580300E+00	
6.10000000E+01	8.43742218E-01	1.05239968E+00	
6.20000000E+01	8.97595506E-01	1.05069598E+00	
6.30000000E+01	9.56063786E-01	1.05075163E+00	
6.40000000E+01	1.01873588E+00	1.05261223E+00	
6.50000000E+01	1.08512433E+00	1.05630799E+00	
6.60000000E+01	1.15466699E+00	1.06185270E+00	
6.70000000E+01	1.22672989E+00	1.06924276E+00	
6.80000000E+01	1.30061135E+00	1.07845638E+00	
6.90000000E+01	1.37554735E+00	1.08945304E+00	
7.00000000E+01	1.45071826E+00	1.10217310E+00	
7.10000000E+01	1.52525681E+00	1.11653769E+00	
