Theta,Phi,AIMAS2 RCS
90,0,0.657157
90,1,0.652951
90,2,0.640451
90,3,0.620045
90,4,0.592377
90,5,0.558342
90,6,0.519072
90,7,0.475931
90,8,0.430497
90,9,0.384543
90,10,0.340018
90,11,0.299024
90,12,0.263785
90,13,0.236614
90,14,0.219885
90,15,0.215986
90,16,0.227281
90,17,0.256064
90,18,0.304513
90,19,0.374642
90,20,0.468247
90,21,0.586864
90,22,0.731712
90,23,0.903656
90,24,1.10316
90,25,1.33025
90,26,1.58448
90,27,1.86493
90,28,2.17015
90,29,2.49821
90,30,2.84666
90,31,3.21255
90,32,3.5925
90,33,3.98268
90,34,4.3789
90,35,4.77664
90,36,5.17114
90,37,5.55744
90,38,5.93048
90,39,6.28518
90,40,6.6165
90,41,6.91954
90,42,7.18962
90,43,7.42233
90,44,7.61363
90,45,7.75991
90,46,7.85805
90,47,7.9055
90,48,7.90029
90,49,7.84114
90,50,7.72745
90,51,7.5594
90,52,7.33795
90,53,7.06492
90,54,6.74297
90,55,6.37567
90,56,5.96752
90,57,5.52391
90,58,5.05117
90,59,4.55649
90,60,4.04787
90,61,3.53407
90,62,3.02444
90,63,2.52881
90,64,2.05731
90,65,1.62011
90,66,1.22721
90,67,0.888154
90,68,0.611729
90,69,0.405685
90,70,0.276426
90,71,0.228733
90,72,0.26551
90,73,0.387573
90,74,0.593498
90,75,0.879527
90,76,1.23956
90,77,1.66521
90,78,2.14597
90,79,2.66945
90,80,3.22167
90,81,3.78749
90,82,4.351
90,83,4.89609
90,84,5.40687
90,85,5.86828
90,86,6.26656
90,87,6.58971
90,88,6.82792
90,89,6.97395
90,90,7.02333
90,91,6.97455
90,92,6.82911
90,93,6.59146
90,94,6.26885
90,95,5.87109
90,96,5.41013
90,97,4.89975
90,98,4.355
90,99,3.79175
90,100,3.22611
90,101,2.67399
90,102,2.15055
90,103,1.66975
90,104,1.24403
90,105,0.883902
90,106,0.597796
90,107,0.391852
90,108,0.269876
90,109,0.233344
90,110,0.281496
90,111,0.411481
90,112,0.618573
90,113,0.896411
90,114,1.23729
90,115,1.63243
90,116,2.07231
90,117,2.54693
90,118,3.04607
90,119,3.55959
90,120,4.0776
90,121,4.59064
90,122,5.0899
90,123,5.56726
90,124,6.01542
90,125,6.42795
90,126,6.79934
90,127,7.12501
90,128,7.40127
90,129,7.62537
90,130,7.79545
90,131,7.91047
90,132,7.97025
90,133,7.97535
90,134,7.92709
90,135,7.82743
90,136,7.679
90,137,7.48497
90,138,7.24902
90,139,6.97528
90,140,6.66824
90,141,6.33268
90,142,5.9736
90,143,5.59611
90,144,5.2054
90,145,4.80659
90,146,4.4047
90,147,4.00457
90,148,3.61074
90,149,3.22746
90,150,2.85855
90,151,2.50744
90,152,2.17705
90,153,1.86982
90,154,1.58769
90,155,1.33206
90,156,1.10385
90,157,0.903447
90,158,0.730809
90,159,0.585434
90,160,0.466425
90,161,0.372531
90,162,0.302189
90,163,0.253574
90,164,0.224653
90,165,0.213229
90,166,0.216992
90,167,0.233568
90,168,0.260561
90,169,0.295597
90,170,0.336361
90,171,0.38063
90,172,0.42631
90,173,0.471456
90,174,0.514303
90,175,0.553282
90,176,0.587038
90,177,0.614445
90,178,0.634619
90,179,0.646921
90,180,0.650969
90,181,0.646638
90,182,0.634062
90,183,0.613632
90,184,0.585993
90,185,0.552038
90,186,0.5129
90,187,0.469938
90,188,0.424727
90,189,0.379036
90,190,0.33481
90,191,0.294146
90,192,0.259265
90,193,0.232481
90,194,0.216165
90,195,0.212709
90,196,0.224482
90,197,0.25379
90,198,0.302821
90,199,0.373606
90,200,0.467962
90,201,0.587448
90,202,0.733311
90,203,0.906445
90,204,1.10735
90,205,1.33608
90,206,1.59223
90,207,1.8749
90,208,2.18269
90,209,2.51368
90,210,2.86544
90,211,3.23506
90,212,3.61913
90,213,4.01384
90,214,4.41497
90,215,4.81798
90,216,5.21807
90,217,5.61022
90,218,5.98931
90,219,6.35017
90,220,6.68768
90,221,6.99683
90,222,7.27282
90,223,7.51114
90,224,7.70763
90,225,7.85856
90,226,7.9607
90,227,8.01138
90,228,8.00855
90,229,7.95083
90,230,7.83758
90,231,7.66893
90,232,7.44582
90,233,7.17007
90,234,6.84438
90,235,6.4724
90,236,6.05869
90,237,5.60877
90,238,5.1291
90,239,4.62701
90,240,4.11069
90,241,3.58907
90,242,3.07168
90,243,2.56854
90,244,2.08993
90,245,1.64618
90,246,1.24744
90,247,0.90333
90,248,0.622736
90,249,0.413437
90,250,0.281838
90,251,0.232685
90,252,0.268806
90,253,0.390914
90,254,0.597446
90,255,0.884488
90,256,1.24576
90,257,1.67271
90,258,2.15465
90,259,2.67901
90,260,3.23168
90,261,3.79739
90,262,4.36017
90,263,4.90385
90,264,5.41255
90,265,5.87125
90,266,6.26625
90,267,6.5857
90,268,6.81993
90,269,6.96185
90,270,7.00717
90,271,6.95457
90,272,6.80572
90,273,6.56521
90,274,6.24043
90,275,5.84125
90,276,5.37971
90,277,4.86956
90,278,4.32583
90,279,3.76432
90,280,3.20103
90,281,2.65173
90,282,2.1314
90,283,1.65386
90,284,1.23134
90,285,0.87421
90,286,0.590717
90,287,0.386873
90,288,0.266372
90,289,0.23061
90,290,0.278782
90,291,0.408026
90,292,0.613637
90,293,0.889307
90,294,1.22741
90,295,1.61927
90,296,2.05547
90,297,2.52615
90,298,3.02122
90,299,3.53065
90,300,4.04468
90,301,4.55398
90,302,5.0498
90,303,5.52412
90,304,5.9697
90,305,6.38015
90,306,6.74998
90,307,7.07462
90,308,7.35038
90,309,7.57449
90,310,7.74504
90,311,7.86099
90,312,7.92208
90,313,7.92884
90,314,7.88252
90,315,7.78506
90,316,7.63903
90,317,7.44754
90,318,7.21423
