Theta,Phi,RCS(m2)
1,0,1.52667
2,0,1.52646
3,0,1.52601
4,0,1.5253
5,0,1.52434
6,0,1.5231
7,0,1.52157
8,0,1.51973
9,0,1.51756
10,0,1.51505
11,0,1.51215
12,0,1.50885
13,0,1.50511
14,0,1.5009
15,0,1.49618
16,0,1.49093
17,0,1.48511
18,0,1.47867
19,0,1.47159
20,0,1.46382
21,0,1.45533
22,0,1.44609
23,0,1.43607
24,0,1.42524
25,0,1.41358
26,0,1.40107
27,0,1.3877
28,0,1.37346
29,0,1.35835
30,0,1.3424
31,0,1.32562
32,0,1.30804
33,0,1.28971
34,0,1.27069
35,0,1.25103
36,0,1.23082
37,0,1.21016
38,0,1.18915
39,0,1.16791
40,0,1.14658
41,0,1.12529
42,0,1.10421
43,0,1.08351
44,0,1.06336
45,0,1.04395
46,0,1.02546
47,0,1.00811
48,0,0.992075
49,0,0.977568
50,0,0.964784
51,0,0.953914
52,0,0.945143
53,0,0.938646
54,0,0.934583
55,0,0.933098
56,0,0.934315
57,0,0.938337
58,0,0.94524
59,0,0.955075
60,0,0.967858
61,0,0.983578
62,0,1.00218
63,0,1.0236
64,0,1.04769
65,0,1.07431
66,0,1.10326
67,0,1.1343
68,0,1.16718
69,0,1.20157
70,0,1.23715
71,0,1.27356
72,0,1.31039
73,0,1.34724
74,0,1.38368
75,0,1.41925
76,0,1.45352
77,0,1.48602
78,0,1.51631
79,0,1.54395
80,0,1.56854
81,0,1.58968
82,0,1.60701
83,0,1.62023
84,0,1.62906
85,0,1.63328
86,0,1.63274
87,0,1.62734
88,0,1.61706
89,0,1.60194
90,0,1.5821
91,0,1.55775
92,0,1.52915
93,0,1.49666
94,0,1.46071
95,0,1.42178
96,0,1.38046
97,0,1.33736
98,0,1.29317
99,0,1.24862
100,0,1.20448
101,0,1.16156
102,0,1.12066
103,0,1.08262
104,0,1.04827
105,0,1.0184
106,0,0.993803
107,0,0.975221
108,0,0.963346
109,0,0.958813
110,0,0.962183
111,0,0.973944
112,0,0.994498
113,0,1.02415
114,0,1.06313
115,0,1.11155
116,0,1.16943
117,0,1.23672
118,0,1.31324
119,0,1.39877
120,0,1.49298
121,0,1.59549
122,0,1.70587
123,0,1.82366
124,0,1.94834
125,0,2.07943
126,0,2.21641
127,0,2.35882
128,0,2.50623
129,0,2.65826
130,0,2.81461
131,0,2.97508
132,0,3.13954
133,0,3.30801
134,0,3.48058
135,0,3.65751
136,0,3.83917
137,0,4.02603
138,0,4.21871
139,0,4.41795
140,0,4.62455
141,0,4.83943
142,0,5.06356
143,0,5.29798
144,0,5.54372
145,0,5.80182
146,0,6.0733
147,0,6.35909
148,0,6.66005
149,0,6.97691
150,0,7.31022
151,0,7.66039
152,0,8.02759
153,0,8.41175
154,0,8.81256
155,0,9.22942
156,0,9.66145
157,0,10.1075
158,0,10.566
159,0,11.0352
160,0,11.513
161,0,11.9971
162,0,12.4848
163,0,12.9733
164,0,13.4594
165,0,13.94
166,0,14.4116
167,0,14.8708
168,0,15.314
169,0,15.7377
170,0,16.1383
171,0,16.5126
172,0,16.8571
173,0,17.169
174,0,17.4453
175,0,17.6836
176,0,17.8815
177,0,18.0373
178,0,18.1495
179,0,18.217
180,0,18.2391
