Theta  Phi    RCS(m2)     
0      0      1.52955     
1      0      1.52966     
2      0      1.5298      
3      0      1.52996     
4      0      1.53013     
5      0      1.5303      
6      0      1.53046     
7      0      1.53059     
8      0      1.53067     
9      0      1.53069     
10     0      1.53061     
11     0      1.53041     
12     0      1.53008     
13     0      1.52956     
14     0      1.52885     
15     0      1.52789     
16     0      1.52666     
17     0      1.52513     
18     0      1.52325     
19     0      1.52099     
20     0      1.51833     
21     0      1.51521     
22     0      1.51161     
23     0      1.50749     
24     0      1.50282     
25     0      1.49757     
26     0      1.49172     
27     0      1.48523     
28     0      1.47809     
29     0      1.47028     
30     0      1.46179     
31     0      1.4526      
32     0      1.44272     
33     0      1.43215     
34     0      1.42089     
35     0      1.40896     
36     0      1.39638     
37     0      1.38318     
38     0      1.3694      
39     0      1.35508     
40     0      1.34027     
41     0      1.32502     
42     0      1.30941     
43     0      1.29351     
44     0      1.2774      
45     0      1.26117     
46     0      1.24491     
47     0      1.22872     
48     0      1.21271     
49     0      1.19699     
50     0      1.18167     
51     0      1.16688     
52     0      1.15274     
53     0      1.13935     
54     0      1.12686     
55     0      1.11536     
56     0      1.10499     
57     0      1.09586     
58     0      1.08806     
59     0      1.08171     
60     0      1.07689     
61     0      1.07368     
62     0      1.07215     
63     0      1.07236     
64     0      1.07436     
65     0      1.07816     
66     0      1.08378     
67     0      1.09122     
68     0      1.10045     
69     0      1.11142     
70     0      1.12408     
71     0      1.13835     
72     0      1.15412     
73     0      1.17128     
74     0      1.18969     
75     0      1.2092      
76     0      1.22963     
77     0      1.25082     
78     0      1.27256     
79     0      1.29464     
80     0      1.31686     
81     0      1.33899     
82     0      1.36081     
83     0      1.3821      
84     0      1.40263     
85     0      1.4222      
86     0      1.4406      
87     0      1.45763     
88     0      1.47312     
89     0      1.48691     
90     0      1.49885     
91     0      1.50883     
92     0      1.51675     
93     0      1.52257     
94     0      1.52624     
95     0      1.52776     
96     0      1.52715     
97     0      1.5245      
98     0      1.51988     
99     0      1.51342     
100    0      1.50529     
101    0      1.49567     
102    0      1.48478     
103    0      1.47288     
104    0      1.46022     
105    0      1.44711     
106    0      1.43385     
107    0      1.42079     
108    0      1.40825     
109    0      1.3966      
110    0      1.38621     
111    0      1.37744     
112    0      1.37067     
113    0      1.36627     
114    0      1.36462     
115    0      1.36609     
116    0      1.37106     
117    0      1.37988     
118    0      1.39294     
119    0      1.41058     
120    0      1.43319     
121    0      1.46111     
122    0      1.49474     
123    0      1.53444     
124    0      1.58059     
125    0      1.63361     
126    0      1.69391     
127    0      1.76192     
128    0      1.83811     
129    0      1.92295     
130    0      2.01694     
131    0      2.12064     
132    0      2.2346      
133    0      2.35941     
134    0      2.49569     
135    0      2.64407     
136    0      2.8052      
137    0      2.97976     
138    0      3.16841     
139    0      3.3718      
140    0      3.5906      
141    0      3.82541     
142    0      4.07681     
143    0      4.34531     
144    0      4.63138     
145    0      4.93538     
146    0      5.25755     
147    0      5.59805     
148    0      5.95689     
149    0      6.33391     
150    0      6.7288      
151    0      7.14108     
152    0      7.57006     
153    0      8.01487     
154    0      8.47441     
155    0      8.94738     
156    0      9.43227     
157    0      9.92735     
158    0      10.4307     
159    0      10.9401     
160    0      11.4533     
161    0      11.9678     
162    0      12.4808     
163    0      12.9897     
164    0      13.4915     
165    0      13.9831     
166    0      14.4616     
167    0      14.9239     
168    0      15.3669     
169    0      15.7876     
170    0      16.183      
171    0      16.5503     
172    0      16.8869     
173    0      17.1903     
174    0      17.4581     
175    0      17.6883     
176    0      17.8792     
177    0      18.0292     
178    0      18.1372     
179    0      18.2023     
180    0      18.2241     
