Theta,Phi,AIMAS2 RCS
0,90,3.25691
1,90,3.25398
2,90,3.24817
3,90,3.23947
4,90,3.22793
5,90,3.21356
6,90,3.19639
7,90,3.17644
8,90,3.15376
9,90,3.12837
10,90,3.10031
11,90,3.06958
12,90,3.03623
13,90,3.00026
14,90,2.96168
15,90,2.9205
16,90,2.87672
17,90,2.83033
18,90,2.78131
19,90,2.72966
20,90,2.67535
21,90,2.61838
22,90,2.55874
23,90,2.49642
24,90,2.43146
25,90,2.36388
26,90,2.29375
27,90,2.22116
28,90,2.14624
29,90,2.06918
30,90,1.99019
31,90,1.90956
32,90,1.82763
33,90,1.74481
34,90,1.6616
35,90,1.57855
36,90,1.4963
37,90,1.41558
38,90,1.33719
39,90,1.262
40,90,1.19098
41,90,1.12517
42,90,1.06566
43,90,1.0136
44,90,0.970213
45,90,0.936727
46,90,0.914408
47,90,0.904524
48,90,0.90833
49,90,0.927054
50,90,0.961868
51,90,1.01387
52,90,1.08407
53,90,1.17335
54,90,1.28246
55,90,1.41197
56,90,1.56228
57,90,1.73356
58,90,1.92578
59,90,2.13862
60,90,2.37153
61,90,2.62368
62,90,2.89394
63,90,3.1809
64,90,3.48283
65,90,3.79774
66,90,4.12333
67,90,4.45703
68,90,4.79602
69,90,5.13723
70,90,5.47738
71,90,5.81303
72,90,6.14058
73,90,6.45633
74,90,6.75655
75,90,7.03747
76,90,7.29539
77,90,7.52673
78,90,7.72805
79,90,7.89613
80,90,8.02804
81,90,8.1212
82,90,8.17341
83,90,8.18293
84,90,8.14851
85,90,8.06947
86,90,7.9457
87,90,7.7777
88,90,7.56665
89,90,7.31436
90,90,7.02333
91,90,6.69671
92,90,6.33832
93,90,5.95259
94,90,5.54457
95,90,5.11983
96,90,4.68446
97,90,4.24495
98,90,3.80815
99,90,3.38115
100,90,2.97124
101,90,2.58574
102,90,2.23196
103,90,1.91704
104,90,1.64786
105,90,1.43093
106,90,1.2723
107,90,1.17741
108,90,1.15102
109,90,1.19713
110,90,1.31888
111,90,1.5185
112,90,1.79723
113,90,2.15532
114,90,2.59199
115,90,3.10541
116,90,3.69277
117,90,4.35024
118,90,5.07311
119,90,5.85581
120,90,6.69199
121,90,7.5747
122,90,8.49644
123,90,9.44935
124,90,10.4253
125,90,11.4163
126,90,12.4141
127,90,13.411
128,90,14.3996
129,90,15.3733
130,90,16.326
131,90,17.2527
132,90,18.1494
133,90,19.0131
134,90,19.8423
135,90,20.6367
136,90,21.3972
137,90,22.1263
138,90,22.8278
139,90,23.5067
140,90,24.1694
141,90,24.8233
142,90,25.4768
143,90,26.1393
144,90,26.8206
145,90,27.5312
146,90,28.2816
147,90,29.0825
148,90,29.9441
149,90,30.8762
150,90,31.8879
151,90,32.9871
152,90,34.1807
153,90,35.4739
154,90,36.8703
155,90,38.3718
156,90,39.9781
157,90,41.687
158,90,43.4941
159,90,45.3929
160,90,47.3744
161,90,49.4281
162,90,51.5409
163,90,53.6982
164,90,55.8836
165,90,58.0793
166,90,60.2662
167,90,62.4242
168,90,64.5328
169,90,66.5711
170,90,68.518
171,90,70.3531
172,90,72.0564
173,90,73.6093
174,90,74.9942
175,90,76.1954
176,90,77.1989
177,90,77.9932
178,90,78.5687
179,90,78.9188
180,90,79.0393
