Theta  Phi    RCS(m2)     
0      0      0.696176    
1      0      0.696153    
2      0      0.696393    
3      0      0.696895    
4      0      0.697659    
5      0      0.698687    
6      0      0.69998     
7      0      0.701541    
8      0      0.70337     
9      0      0.705471    
10     0      0.707847    
11     0      0.710501    
12     0      0.713436    
13     0      0.716655    
14     0      0.720163    
15     0      0.723962    
16     0      0.728056    
17     0      0.732449    
18     0      0.737142    
19     0      0.74214     
20     0      0.747443    
21     0      0.753053    
22     0      0.758972    
23     0      0.765199    
24     0      0.771734    
25     0      0.778573    
26     0      0.785716    
27     0      0.793158    
28     0      0.800893    
29     0      0.808916    
30     0      0.817218    
31     0      0.82579     
32     0      0.834624    
33     0      0.843706    
34     0      0.853024    
35     0      0.862564    
36     0      0.872312    
37     0      0.88225     
38     0      0.892363    
39     0      0.902632    
40     0      0.913039    
41     0      0.923566    
42     0      0.934194    
43     0      0.944904    
44     0      0.955678    
45     0      0.966498    
46     0      0.977348    
47     0      0.98821     
48     0      0.999071    
49     0      1.00992     
50     0      1.02074     
51     0      1.03152     
52     0      1.04227     
53     0      1.05297     
54     0      1.06361     
55     0      1.07421     
56     0      1.08477     
57     0      1.09528     
58     0      1.10577     
59     0      1.11623     
60     0      1.12668     
61     0      1.13714     
62     0      1.14763     
63     0      1.15816     
64     0      1.16875     
65     0      1.17942     
66     0      1.1902      
67     0      1.2011      
68     0      1.21214     
69     0      1.22334     
70     0      1.23471     
71     0      1.24627     
72     0      1.25803     
73     0      1.26998     
74     0      1.28213     
75     0      1.29447     
76     0      1.307       
77     0      1.31968     
78     0      1.3325      
79     0      1.34542     
80     0      1.3584      
81     0      1.3714      
82     0      1.38435     
83     0      1.39719     
84     0      1.40985     
85     0      1.42225     
86     0      1.4343      
87     0      1.44592     
88     0      1.45701     
89     0      1.46747     
90     0      1.47719     
91     0      1.48608     
92     0      1.49402     
93     0      1.50092     
94     0      1.50667     
95     0      1.51119     
96     0      1.51438     
97     0      1.51616     
98     0      1.51647     
99     0      1.51525     
100    0      1.51246     
101    0      1.50807     
102    0      1.50207     
103    0      1.49448     
104    0      1.48533     
105    0      1.47466     
106    0      1.46256     
107    0      1.44912     
108    0      1.43446     
109    0      1.41874     
110    0      1.40212     
111    0      1.38479     
112    0      1.36699     
113    0      1.34894     
114    0      1.3309      
115    0      1.31316     
116    0      1.29601     
117    0      1.27977     
118    0      1.26475     
119    0      1.25129     
120    0      1.23974     
121    0      1.23043     
122    0      1.22372     
123    0      1.21994     
124    0      1.21943     
125    0      1.22251     
126    0      1.22951     
127    0      1.24071     
128    0      1.2564      
129    0      1.27682     
130    0      1.30221     
131    0      1.33276     
132    0      1.36864     
133    0      1.40998     
134    0      1.4569      
135    0      1.50943     
136    0      1.56762     
137    0      1.63145     
138    0      1.70085     
139    0      1.77575     
140    0      1.85601     
141    0      1.94146     
142    0      2.03188     
143    0      2.12705     
144    0      2.22668     
145    0      2.33047     
146    0      2.43808     
147    0      2.54915     
148    0      2.66328     
149    0      2.78008     
150    0      2.89911     
151    0      3.01992     
152    0      3.14208     
153    0      3.26512     
154    0      3.38857     
155    0      3.51196     
156    0      3.63482     
157    0      3.75669     
158    0      3.8771      
159    0      3.99562     
160    0      4.11179     
161    0      4.2252      
162    0      4.33542     
163    0      4.44207     
164    0      4.54476     
165    0      4.64314     
166    0      4.73686     
167    0      4.8256      
168    0      4.90908     
169    0      4.987       
170    0      5.05911     
171    0      5.12518     
172    0      5.18499     
173    0      5.23836     
174    0      5.28511     
175    0      5.3251      
176    0      5.35819     
177    0      5.38429     
178    0      5.40329     
179    0      5.41515     
180    0      5.4198      
